id,account_name
10.18.1,"Семена и посад.матер(соб)"
10.18.2,"Семена и посад.матер(пок)"
01,"Основные средства"
01.01,"Основные средства в организации"
01.03,"Арендованное имущество"
01.05,"Затраты на ремонт основных средств"
01.08,"Объекты недвижимости, права собственности на которые не зарегистрированы"
01.09,"Выбытие основных средств"
01.11,"Групповые объекты основных средств"
01.К,"Корректировка стоимости арендованного имущества"
02,"Амортизация основных средств"
02.01,"Амортизация основных средств, учитываемых на счете 01"
02.02,"Амортизация основных средств, учитываемых на счете 03"
02.03,"Амортизация арендованного имущества"
02.04,"Обесценение основных средств, учитываемых на счете 01"
02.05,"Амортизация затрат на ремонт основных средств"
02.11,"Амортизация групповых объектов основных средств"
03,"Доходные вложения в материальные ценности"
03.01,"Материальные ценности в организации"
03.02,"Материальные ценности предоставленные во временное владение и пользование"
03.03,"Материальные ценности предоставленные во временное пользование"
03.04,"Прочие доходные вложения"
03.09,"Выбытие материальных ценностей"
04,"Нематериальные активы"
04.01,"Нематериальные активы организации"
04.02,"Расходы на научно-исследовательские, опытно-конструкторские и технологические работы"
05,"Амортизация нематериальных активов"
05.01,"Амортизация нематериальных активов"
05.02,"Обесценение нематериальных активов"
07,"Оборудование к установке"
08,"Вложения во внеоборотные активы"
08.01,"Приобретение земельных участков"
08.01.1,"Приобретение земельных участков с доп. расходами"
08.01.2,"Приобретение земельных участков без доп. расходов"
08.02,"Приобретение объектов природопользования"
08.03,"Строительство объектов основных средств"
08.04,"Приобретение объектов основных средств"
08.04.1,"Приобретение компонентов основных средств"
08.04.2,"Приобретение основных средств"
08.04.5,"Вложения в ремонты основных средств"
08.05,"Приобретение нематериальных активов"
08.06,"Перевод молодняка животных в основное стадо"
08.06.1,"Перевод молодняка животных в основное стадо (стоимость за головы)"
08.06.2,"Перевод молодняка животных в основное стадо (стоимость за массу)"
08.07,"Приобретение взрослых животных"
08.07.1,"Приобретение взрослых животных (стоимость за головы)"
08.07.2,"Приобретение взрослых животных (стоимость за массу)"
08.08,"Выполнение научно-исследовательских, опытно-конструкторских и технологических работ"
08.09,"Прочие вложения"
08.11,"Нематериальные поисковые активы"
08.12,"Материальные поисковые активы"
09,"Отложенные налоговые активы"
10,"Материалы"
10.01,"Сырье и материалы"
10.02,"Покупные полуфабрикаты и комплектующие изделия, конструкции и детали"
10.03,"Топливо"
10.03.1,"Топливо на складе"
10.03.2,"Топливо в баке"
10.04,"Тара и тарные материалы"
10.05,"Запасные части"
10.06,"Представительские расходы"
10.07,"Материалы, переданные в переработку на сторону"
10.08,"Строительные материалы"
10.09,"Инвентарь и хозяйственные принадлежности"
10.10,"Специальная оснастка и специальная одежда на складе"
10.11,"Специальная оснастка и специальная одежда в эксплуатации"
10.11.1,"Специальная одежда в эксплуатации"
10.11.2,"Специальная оснастка в эксплуатации"
10.12,"Удобрения, средства защиты растений и животных"
10.12.1,"Удобрения, средства защиты растений и животных собственного производства"
10.12.2,"Удобрения, средства защиты растений и животных покупные"
10.13,"Корма"
10.13.1,"Корма собственного производства"
10.13.2,"Корма покупные"
10.14,"Семена и посадочный материал "
10.14.1,"Семена и посадочный материал собственного производства"
10.14.2,"Семена и посадочный материал покупные"
10.21,"Малоценное оборудование и запасы"
10.21.1,"Приобретение малоценного оборудования и запасов"
10.21.2,"Выбытие малоценного оборудования и запасов"
11,"Животные на выращивании и откорме"
11.01,"Молодняк животных"
11.02,"Молодняк животных на доращивании"
11.03,"Птица"
11.04,"Звери"
11.05,"Кролики"
11.06,"Семьи пчел"
11.07,"Молодняк переданный по договорам"
11.08,"Скот, принятый от населения для продажи"
11.09,"Скот переданный в переработку на сторону"
11.11,"Животные на выращивании и откорме (переход с БП)"
14,"Резервы под снижение стоимости материальных ценностей"
14.01,"Резервы под снижение стоимости материалов"
14.02,"Резервы под снижение стоимости товаров"
14.03,"Резервы под снижение стоимости готовой продукции"
14.04,"Резервы под снижение стоимости незавершенного производства"
15,"Заготовление и приобретение материальных ценностей"
15.01,"Заготовление и приобретение материалов"
15.02,"Приобретение товаров"
16,"Отклонение в стоимости материальных ценностей"
16.01,"Отклонение в стоимости материалов"
16.02,"Отклонение в стоимости товаров"
19,"НДС по приобретенным ценностям"
19.01,"НДС при приобретении основных средств"
19.02,"НДС по приобретенным нематериальным активам"
19.03,"НДС по приобретенным материально-производственным запасам"
19.04,"НДС по приобретенным услугам"
19.05,"НДС, уплаченный при ввозе товаров на территорию Российской Федерации"
19.06,"Акцизы по оплаченным материальным ценностям"
19.07,"НДС по товарам, реализованным по ставке 0% (экспорт)"
19.08,"НДС при строительстве основных средств"
19.09,"НДС по уменьшению стоимости реализации"
19.10,"НДС, уплачиваемый при импорте из Таможенного союза"
19.11,"НДС 10%"
20,"Основное производство"
20.01,"Основное производство"
20.01.1,"Растениеводство"
20.01.2,"Животноводство"
20.01.3,"Промышленное производство"
20.01.4,"Растениеводство по полям"
20.01.9,"Основное производство (переход с БП)"
20.02,"Производство продукции из давальческого сырья"
21,"Полуфабрикаты собственного производства"
23,"Вспомогательные производства"
23.01,"Ремонтные мастерские"
23.02,"Ремонт зданий и сооружений"
23.03,"Машинно тракторный парк"
23.04,"Автомобильный транспорт"
23.05,"Энергетические производства"
23.06,"Водоснабжение"
23.07,"Гужевой транспорт"
23.08,"Прочие вспомогательные производства"
23.11,"Вспомогательные производства (переход с БП)"
23.15,"Выполнение ремонтов основных средств"
25,"Общепроизводственные расходы"
26,"Общехозяйственные расходы"
28,"Брак в производстве"
29,"Обслуживающие производства и хозяйства"
29.01,"Жилищно коммунальное хозяйство"
29.02,"Производства бытового обслуживания"
29.03,"Производства общественного питания"
29.04,"Детские дошкольные учреждения"
29.05,"Учреждения культурно бытовые"
29.06,"Прочие производства и хозяйства"
29.07,"Некомерческая деятельность"
29.11,"Обслуживающие производства и хозяйства (переход с БП)"
40,"Выпуск продукции (работ, услуг)"
41,"Товары"
41.01,"Товары на складах"
41.02,"Товары в розничной торговле (по покупной стоимости)"
41.03,"Тара под товаром и порожняя"
41.04,"Покупные изделия"
41.11,"Товары в розничной торговле (в АТТ по продажной стоимости)"
41.12,"Товары в розничной торговле (в НТТ по продажной стоимости)"
41.К,"Корректировка товаров прошлого периода"
42,"Торговая наценка"
42.01,"Торговая наценка в автоматизированных торговых точках"
42.02,"Торговая наценка в неавтоматизированных торговых точках"
43,"Готовая продукция"
44,"Расходы на продажу"
44.01,"Издержки обращения в организациях, осуществляющих торговую деятельность"
44.02,"Коммерческие расходы в организациях, осуществляющих промышленную и иную производственную деятельность"
45,"Товары отгруженные"
45.01,"Покупные товары отгруженные"
45.02,"Готовая продукция отгруженная"
45.03,"Прочие товары отгруженные"
45.04,"Переданные объекты недвижимости"
46,"Выполненные этапы по незавершенным работам"
50,"Касса"
50.01,"Касса организации"
50.02,"Операционная касса"
50.03,"Денежные документы"
50.04,"Касса по деятельности платежного агента"
50.21,"Касса организации (в валюте)"
50.23,"Денежные документы (в валюте)"
51,"Расчетные счета"
52,"Валютные счета"
53,"Счет цифрового рубля"
55,"Специальные счета в банках"
55.01,"Аккредитивы"
55.02,"Чековые книжки"
55.03,"Депозитные счета"
55.04,"Прочие специальные счета"
55.21,"Аккредитивы (в валюте)"
55.23,"Депозитные счета (в валюте)"
55.24,"Прочие специальные счета (в валюте)"
57,"Переводы в пути"
57.01,"Переводы в пути"
57.02,"Приобретение иностранной валюты"
57.03,"Продажи по платежным картам"
57.21,"Переводы в пути (в валюте)"
57.22,"Реализация иностранной валюты"
58,"Финансовые вложения"
58.01,"Паи и акции"
58.01.1,"Паи"
58.01.2,"Акции"
58.02,"Долговые ценные бумаги"
58.03,"Предоставленные займы"
58.04,"Вклады  в имущество"
58.05,"Приобретенные права в рамках оказания финансовых услуг"
59,"Резервы под обесценение финансовых вложений"
60,"Расчеты с поставщиками и подрядчиками"
60.01,"Расчеты с поставщиками и подрядчиками"
60.02,"Расчеты по авансам выданным"
60.03,"Векселя выданные"
60.21,"Расчеты с поставщиками и подрядчиками (в валюте)"
60.22,"Расчеты по авансам выданным (в валюте)"
60.31,"Расчеты с поставщиками и подрядчиками (в у.е.)"
60.32,"Расчеты по авансам выданным (в у.е.)"
62,"Расчеты с покупателями и заказчиками"
62.01,"Расчеты с покупателями и заказчиками"
62.02,"Расчеты по авансам полученным"
62.03,"Векселя полученные"
62.21,"Расчеты с покупателями и заказчиками (в валюте)"
62.22,"Расчеты по авансам полученным (в валюте)"
62.31,"Расчеты с покупателями и заказчиками (в у.е.)"
62.32,"Расчеты по авансам полученным (в у.е.)"
62.ОТ,"Расчеты по авансам полученным в счет отгрузки"
62.ОТ.1,"Расчеты по авансам полученным в счет отгрузки"
62.ОТ.2,"Расчеты по авансам полученным (в валюте) в счет отгрузки"
62.ОТ.3,"Расчеты по авансам полученным (в у.е.) в счет отгрузки"
62.Р,"Расчеты с розничными покупателями"
63,"Резервы по сомнительным долгам"
66,"Расчеты по краткосрочным кредитам и займам"
66.01,"Краткосрочные кредиты"
66.02,"Проценты по краткосрочным кредитам"
66.03,"Краткосрочные займы"
66.04,"Проценты по краткосрочным займам"
66.05,"Краткосрочные долговые ценные бумаги"
66.06,"Проценты по краткосрочным долговым ценным бумагам"
66.21,"Краткосрочные кредиты (в валюте)"
66.22,"Проценты по краткосрочным кредитам (в валюте)"
66.23,"Краткосрочные займы (в валюте)"
66.24,"Проценты по краткосрочным займам (в валюте)"
66.25,"Краткосрочные долговые ценные бумаги (в валюте)"
66.26,"Проценты по краткосрочным долговым ценным бумагам (в валюте)"
67,"Расчеты по долгосрочным кредитам и займам"
67.01,"Долгосрочные кредиты"
67.02,"Проценты по долгосрочным кредитам"
67.03,"Долгосрочные займы"
67.04,"Проценты по долгосрочным займам"
67.05,"Долгосрочные долговые ценные бумаги"
67.06,"Проценты по долгосрочным долговым ценным бумагам"
67.21,"Долгосрочные кредиты (в валюте)"
67.22,"Проценты по долгосрочным кредитам (в валюте)"
67.23,"Долгосрочные займы (в валюте)"
67.24,"Проценты по долгосрочным займам (в валюте)"
67.25,"Долгосрочные долговые ценные бумаги (в валюте)"
67.26,"Проценты по долгосрочным долговым ценным бумагам (в валюте)"
68,"Расчеты по налогам и сборам"
68.01,"НДФЛ при исполнении обязанностей налогового агента"
68.01.1,"НДФЛ исчисленный налоговым агентом"
68.01.2,"НДФЛ с доходов свыше предельной величины, исчисленный налоговым агентом"
68.02,"Налог на добавленную стоимость"
68.03,"Акцизы"
68.04,"Налог на прибыль"
68.04.1,"Расчеты с бюджетом"
68.04.2,"Расчет налога на прибыль"
68.06,"Земельный налог"
68.07,"Транспортный налог"
68.08,"Налог на имущество"
68.09,"Налог на рекламу"
68.10,"Прочие налоги и сборы"
68.11,"Единый налог на вмененный доход"
68.12,"Налог при упрощенной системе налогообложения или при ЕСХН "
68.13,"Торговый сбор"
68.14,"Налог при патентной системе налогообложения"
68.15,"Налог при Автоматизированной упрощенной системе налогообложения"
68.16,"Налог на профессиональный доход"
68.21,"НДФЛ предпринимателя"
68.21.1,"НДФЛ индивидуального предпринимателя"
68.21.2,"НДФЛ индивидуального предпринимателя свыше предельной величины"
68.22,"НДС по экспорту к возмещению"
68.32,"НДС при исполнении обязанностей налогового агента"
68.34,"Налог на прибыль при исполнении обязанностей налогового агента"
68.42,"НДС при импорте товаров из Таможенного союза"
68.52,"НДС налогового агента по отдельным видам товаров"
68.90,"Единый налоговый счет"
69,"Расчеты по социальному страхованию и обеспечению"
69.01,"Расчеты по социальному страхованию"
69.02,"Расчеты по пенсионному обеспечению"
69.02.1,"Страховая часть трудовой пенсии"
69.02.2,"Накопительная часть трудовой пенсии"
69.02.3,"Взносы на доплату к пенсии членам летных экипажей"
69.02.4,"Взносы на доплату к пенсии работникам организаций угольной промышленности"
69.02.5,"Дополнительные взносы на страховую часть пенсии работникам, занятым на работах с вредными условиями труда"
69.02.6,"Дополнительные взносы на страховую часть пенсии работникам, занятым на работах с тяжелыми условиями труда"
69.02.7,"Обязательное пенсионное страхование"
69.03,"Расчеты по обязательному медицинскому страхованию"
69.03.1,"Федеральный фонд ОМС"
69.03.2,"Территориальный фонд ОМС"
69.04,"ЕСН в части, перечисляемой в Федеральный бюджет"
69.05,"Добровольные взносы на накопительную часть трудовой пенсии"
69.05.1,"Взносы за счет работодателя"
69.05.2,"Взносы, удерживаемые из доходов работника"
69.06,"Расчеты по страховым взносам, уплачиваемым исходя из стоимости страхового года"
69.06.1,"Взносы в ПФР (страховая часть)"
69.06.2,"Взносы в ПФР (накопительная часть)"
69.06.3,"Взносы в ФОМС"
69.06.4,"Взносы в ФСС"
69.06.5,"Обязательное пенсионное страхование предпринимателя"
69.06.6,"Страховые взносы единый тариф ИП"
69.09,"Страховые взносы по единому тарифу"
69.11,"Расчеты по обязательному социальному страхованию от несчастных случаев на производстве и профессиональных заболеваний"
69.12,"Расчеты по добровольным взносам в ФСС на страхование работников на случай временной нетрудоспособности"
69.13,"Расчеты по средствам ФСС для страхователей, применяющих специальные режимы налогообложения"
69.13.1,"Расчеты по средствам ФСС для страхователей, уплачивающих ЕНВД"
69.13.2,"Расчеты по средствам ФСС для страхователей, применяющих УСН"
70,"Расчеты с персоналом по оплате труда"
71,"Расчеты с подотчетными лицами"
71.01,"Расчеты с подотчетными лицами"
71.21,"Расчеты с подотчетными лицами (в валюте)"
73,"Расчеты с персоналом по прочим операциям"
73.01,"Расчеты по предоставленным займам"
73.02,"Расчеты по возмещению материального ущерба"
73.03,"Расчеты по прочим операциям"
75,"Расчеты с учредителями"
75.01,"Расчеты по вкладам в уставный (складочный) капитал"
75.02,"Расчеты по выплате доходов"
75.03,"Расчеты по вкладам в добавочный капитал"
76,"Расчеты с разными дебиторами и кредиторами"
76.01,"Расчеты по имущественному, личному и добровольному страхованию"
76.01.1,"Расчеты по имущественному и личному страхованию"
76.01.2,"Платежи (взносы) по добровольному страхованию на случай смерти и причинения вреда здоровью"
76.01.9,"Платежи (взносы) по прочим видам страхования"
76.02,"Расчеты по претензиям"
76.03,"Расчеты по причитающимся дивидендам и другим доходам"
76.04,"Расчеты по депонированным суммам"
76.05,"Расчеты с прочими поставщиками и подрядчиками"
76.06,"Расчеты с прочими покупателями и заказчиками"
76.07,"Расчеты по аренде"
76.07.1,"Арендные обязательства"
76.07.2,"Задолженность по арендным платежам"
76.07.5,"Проценты по аренде"
76.07.9,"НДС по арендным обязательствам"
76.08,"Проценты по рассрочке"
76.09,"Прочие расчеты с разными дебиторами и кредиторами"
76.10,"Прочие расчеты с физическими лицами"
76.13,"Расчеты с факторинговыми компаниями"
76.14,"Приобретение билетов для командировок"
76.15,"Приобретение по топливным картам"
76.16,"Расчеты с самозанятыми по реестрам выплат"
76.17,"Расчеты по налогам с третьими лицами"
76.18,"Приобретение прав на использование результатов интеллектуальной деятельности"
76.21,"Расчеты по имущественному и личному страхованию (в валюте)"
76.22,"Расчеты по претензиям (в валюте)"
76.25,"Расчеты с прочими поставщиками и подрядчиками (в валюте)"
76.26,"Расчеты с прочими покупателями и заказчиками (в валюте)"
76.27,"Расчеты по аренде (в валюте)"
76.27.1,"Арендные обязательства (в валюте)"
76.27.2,"Задолженность по арендным платежам (в валюте)"
76.27.5,"Проценты по аренде (в валюте)"
76.27.9,"НДС по арендным обязательствам (в валюте)"
76.28,"Проценты по рассрочке (в валюте)"
76.29,"Прочие расчеты с разными дебиторами и кредиторами (в валюте)"
76.32,"Расчеты по претензиям (в у.е.)"
76.35,"Расчеты с прочими поставщиками и подрядчиками (в у.е.)"
76.36,"Расчеты с прочими покупателями и заказчиками (в у.е.)"
76.37,"Расчеты по аренде (в у.е.)"
76.37.1,"Арендные обязательства (в у.е.)"
76.37.2,"Задолженность по арендным платежам (в у.е.)"
76.37.5,"Проценты по аренде (в у.е.)"
76.37.9,"НДС по арендным обязательствам (в у.е.)"
76.38,"Проценты по рассрочке (в у.е.)"
76.39,"Прочие расчеты с разными дебиторами и кредиторами (в у.е.)"
76.41,"Расчеты по исполнительным документам работников"
76.49,"Расчеты по прочим удержаниям из заработной платы работников"
76.77,"Расчеты по аренде ФЛ"
76.77.1,"Арендные обязательства ФЛ"
76.77.2,"Арендные платежи ФЛ"
76.77.5,"Проценты по аренде ФЛ"
76.АВ,"НДС по авансам и предоплатам"
76.АФ,"Расчеты с физ лицами по арендной плате"
76.ВА,"НДС по авансам и предоплатам выданным"
76.К,"Корректировка расчетов прошлого периода"
76.Н,"Расчеты по НДС, отложенному для уплаты в бюджет"
76.НА,"Расчеты по НДС при исполнении обязанностей налогового агента"
76.ОТ,"НДС, начисленный по отгрузке"
77,"Отложенные налоговые обязательства"
79,"Внутрихозяйственные расчеты"
79.01,"Расчеты по выделенному имуществу"
79.02,"Расчеты по текущим операциям"
79.03,"Расчеты по договору доверительного управления имуществом"
80,"Уставный капитал"
80.01,"Обыкновенные акции"
80.02,"Привилегированные акции"
80.09,"Прочий капитал"
81,"Собственные акции (доли)"
81.01,"Обыкновенные акции"
81.02,"Привилегированные акции"
81.09,"Прочий капитал"
82,"Резервный капитал"
82.01,"Резервы, образованные в соответствии с законодательством"
82.02,"Резервы, образованные в соответствии с учредительными документами"
83,"Добавочный капитал"
83.01,"Прирост стоимости внеоборотных активов по переоценке"
83.01.1,"Прирост стоимости основных средств"
83.01.2,"Прирост стоимости нематериальных активов"
83.01.3,"Прирост стоимости прочих внеоборотных активов"
83.02,"Эмиссионный доход от выпуска обыкновенных акций"
83.03,"Эмиссионный доход от выпуска привилегированных акций"
83.09,"Вклад участника в имущество общества"
84,"Нераспределенная прибыль (непокрытый убыток)"
84.01,"Прибыль, подлежащая распределению"
84.02,"Убыток, подлежащий покрытию"
84.03,"Нераспределенная прибыль в обращении"
84.04,"Нераспределенная прибыль использованная"
86,"Целевое финансирование"
86.01,"Целевое финансирование из бюджета"
86.02,"Прочее целевое финансирование и поступления"
90,"Продажи"
90.01,"Выручка"
90.01.1,"Выручка по деятельности с основной системой налогообложения"
90.01.2,"Выручка по отдельным видам деятельности с особым порядком налогообложения"
90.01.3,"Выручка по сельскохозяйственной деятельности"
90.02,"Себестоимость продаж"
90.02.1,"Себестоимость продаж по деятельности с основной системой налогообложения"
90.02.2,"Себестоимость продаж по отдельным видам деятельности с особым порядком налогообложения"
90.02.3,"Себестоимость продаж по сельскохозяйственной деятельности"
90.03,"Налог на добавленную стоимость"
90.03.1,"Налог на добавленную стоимость по деятельности с основной системой налогообложения"
90.03.3,"Налог на добавленную стоимость по сельскохозяйственной деятельности"
90.04,"Акцизы"
90.05,"Экспортные пошлины"
90.05.1,"Экспортные пошлины по деятельности с основной системой налогообложения"
90.05.3,"Экспортные пошлины по сельскохозяйственной деятельности"
90.07,"Расходы на продажу"
90.07.1,"Расходы на продажу по деятельности с основной системой налогообложения"
90.07.2,"Расходы на продажу по отдельным видам деятельности с особым порядком налогообложения"
90.07.3,"Расходы на продажу по сельскохозяйственной деятельности"
90.08,"Управленческие расходы"
90.08.1,"Управленческие расходы по деятельности с основной системой налогообложения"
90.08.2,"Управленческие расходы по отдельным видам деятельности с особым порядком налогообложения"
90.08.3,"Управленческие расходы по сельскохозяйственной деятельности"
90.09,"Прибыль / убыток от продаж"
91,"Прочие доходы и расходы"
91.01,"Прочие доходы"
91.02,"Прочие расходы"
91.03,"Налог на добавленную стоимость по деятельности с основной системой налогообложения"
91.09,"Сальдо прочих доходов и расходов"
94,"Недостачи и потери от порчи ценностей"
96,"Резервы предстоящих расходов"
96.01,"Оценочные обязательства по вознаграждениям работникам"
96.01.1,"Оценочные обязательства по вознаграждениям"
96.01.2,"Оценочные обязательства по страховым взносам"
96.09,"Резервы предстоящих расходов прочие"
97,"Расходы будущих периодов"
97.01,"Расходы на оплату труда будущих периодов"
97.02,"Расходы будущих периодов на добровольное страхование работников"
97.11,"Убытки прошлых лет по налогу на прибыль"
97.12,"Убытки от реализации основных средств"
97.21,"Прочие расходы будущих периодов"
97.КР,"Отложенные расходы по курсовым разницам"
98,"Доходы будущих периодов"
98.01,"Доходы, полученные в счет будущих периодов"
98.02,"Безвозмездные поступления"
98.03,"Предстоящие поступления по недостачам, выявленным за прошлые годы"
98.04,"Разница между суммой, подлежащей взысканию с виновных лиц, и балансовой стоимостью по недостачам ценностей"
98.КР,"Отложенные доходы по курсовым разницам"
99,"Прибыли и убытки"
99.01,"Прибыли и убытки от хозяйственной деятельности (за исключением налога на прибыль)"
99.01.1,"Прибыли и убытки по деятельности с основной системой налогообложения"
99.01.2,"Прибыли и убытки по отдельным видам деятельности с особым порядком налогообложения"
99.01.3,"Прибыли и убытки по сельскохозяйственной деятельности"
99.02,"Налог на прибыль"
99.02.1,"Условный расход по налогу на прибыль"
99.02.2,"Условный доход по налогу на прибыль"
99.02.3,"Постоянный налоговый расход (доход)"
99.02.4,"Пересчет отложенных налоговых активов и обязательств"
99.02.О,"Отложенный налог на прибыль"
99.02.Т,"Текущий налог на прибыль"
99.09,"Прочие прибыли и убытки"
000,"Вспомогательный счет"
001,"Арендованные основные средства"
002,"Товарно-материальные ценности, принятые на ответственное хранение"
003,"Материалы, принятые в переработку"
003.01,"Материалы на складе"
003.02,"Материалы, переданные в производство"
004,"Товары, принятые на комиссию"
004.01,"Товары на складе"
004.02,"Товары, переданные на комиссию"
004.К,"Корректировка комиссионных товаров прошлого периода"
005,"Оборудование, принятое для монтажа"
006,"Бланки строгой отчетности"
007,"Списанная в убыток задолженность неплатежеспособных дебиторов"
008,"Обеспечения обязательств и платежей полученные"
008.01,"Обеспечения обязательств и платежей полученные"
008.21,"Обеспечения обязательств и платежей полученные (в валюте)"
009,"Обеспечения обязательств и платежей выданные"
009.01,"Обеспечения обязательств и платежей выданные"
009.21,"Обеспечения обязательств и платежей выданные (в валюте)"
010,"Износ основных средств"
011,"Основные средства, сданные в аренду"
012,"Возвратная тара"
012.01,"Возвратная тара на складе"
012.02,"Возвратная тара у покупателя"
100,"Материалы"
101,"Материалы Растениеводство"
101.01,"Сырье и материалы Растениеводство"
101.02,"Покупные полуфабрикаты и комплектующие изделия, конструкции и детали Растениеводство"
101.03,"Топливо Растениеводство"
101.04,"Тара и тарные материалы Растениеводство"
101.05,"Запасные части Растениеводство"
101.06,"Прочие материалы Растениеводство"
101.08,"Строительные материалы Растениеводство"
101.09,"Инвентарь и хозяйственные принадлежности Растениеводство"
101.10,"Специальная оснастка и специальная одежда на складе Растениеводство"
101.12,"Удобрения, средства защиты растений и животных Растениеводство"
101.12.1,"Удобрения, средства защиты растений и животных собственного производства Растениеводство"
101.12.2,"Удобрения, средства защиты растений и животных покупные Растениеводство"
411,"Растениеводство товары"
411.01,"Пшеница Товар"
411.03,"Гречиха Товар"
411.05,"Горох Товар"
411.06,"Рапс Товар"
411.07,"Ячмень Товар"
411.99,"Жом Товар"
ГТД,"Учет импортных товаров по номерам ГТД"
КВ,"Амортизационная премия"
МЦ,"Материальные ценности в эксплуатации"
МЦ.01,"Товары на комиссии"
МЦ.02,"Спецодежда в эксплуатации"
МЦ.03,"Спецоснастка в эксплуатации"
МЦ.04,"Инвентарь и хозяйственные принадлежности в эксплуатации"
НЕ,"Доходы и расходы, не учитываемые в целях налогообложения"
НЕ.01,"Расходы, которые не учтены на основании пунктов 1 - 48 статьи 270 НК"
НЕ.01.1,"Выплаты в пользу физических лиц"
НЕ.01.9,"Другие выплаты"
НЕ.02,"Расходы, которые не учтены на основании пункта 49 статьи 270 НК"
НЕ.02.1,"Выплаты в пользу физических лиц"
НЕ.02.9,"Другие выплаты"
НЕ.03,"Внереализационные расходы, не учитываемые в целях налогообложения"
НЕ.04,"Доходы, не учитываемые в целях налогообложения"
ОТ,"Расчеты для целей НДС по товарам, отгруженным без перехода права собственности"
ОТ.01,"Расчеты для целей НДС по товарам, отгруженным без перехода права собственности"
ОТ.02,"Расчеты для целей НДС по товарам (в валюте), отгруженным без перехода права собственности"
ОТ.03,"Расчеты для целей НДС по товарам (в у.е.), отгруженным без перехода права собственности"
ПРС,"Продуктивный рабочий скот"
РВ,"Розничная выручка"
РВ.1,"Наличная нераспределенная розничная выручка"
РВ.2,"НДС в наличной нераспределенной розничной выручке"
РВ.3,"Безналичная нераспределенная розничная выручка"
РВ.4,"НДС в безналичной нераспределенной розничной выручке"
УСН,"Вспомогательные счета по упрощенной системе налогообложения"
УСН.01,"Расчеты с покупателями по деятельности ЕНВД"
УСН.02,"Расчеты с покупателями за товары комитента"
УСН.03,"Расчеты с покупателями по деятельности на патенте"
УСН.04,"Расчеты с покупателями по деятельности на торговом сборе"
УСН.21,"Расчеты с покупателями в валюте по деятельности ЕНВД"
УСН.22,"Расчеты с покупателями в валюте за товары комитента"
УСН.23,"Расчеты с покупателями в валюте по деятельности на патенте"
УСН.24,"Расчеты с покупателями в валюте по деятельности на торговом сборе"
Я69.06.5,"(не используется) Обязательное пенсионное страхование предпринимателя"
Я75,"(Не используется) Расчеты с учредителями"
Я81.01,"(Не используется) Обыкновенные акции"
Я81,"(Не используется) Собственные акции (доли)"
Я80,"(Не используется) Уставный капитал"
Я80.02,"(Не используется) Привилегированные акции"
Я80.01,"(Не используется) Обыкновенные акции"
Я80.09,"(Не используется) Прочий капитал"
Я75.01,"(Не используется) Расчеты по вкладам в уставный (складочный) капитал"
Я01.К,"не используется"
Я81.09,"(Не используется) Прочий капитал"
Я81.02,"(Не используется) Привилегированные акции"
Я75.02,"(Не используется) Расчеты по выплате доходов"
Я96,"не используется"
Я96.01,"не используется"
